"Alan Love","Q76130571","2015 United Kingdom general election","Lagan Valley","UK Independence Party"
"Alan Love","Q76130571","2019 United Kingdom general election","Lagan Valley","UK Independence Party"
"Barrie Halliday",,,,
"Brendan Morgan",,,,
"Craig Weir",,,,
"David Evans","Q98273167","1997 United Kingdom general election","Newry and Armagh","Natural Law Party"
"David Murphy",,,,
"Emmet Crossan",,,,
"Freda Donnelly",,,,
"Jackie Coade","Q76130680","2017 United Kingdom general election","Newry and Armagh","Alliance Party of Northern Ireland"
"Jackie Coade","Q76130680","2019 United Kingdom general election","Newry and Armagh","Alliance Party of Northern Ireland"
"James Malone",,,,
"Jim Lennon",,,,
"Kate Fearon",,,,
"Martin McAllister",,,,
"Mary Allen",,,,
"Michael Watters",,,,
"Pete Whitcroft","Q98342240","2007 Northern Ireland Assembly election","South Antrim","Green Party in Northern Ireland"
"Peter Whitcroft","Q98273207","1997 United Kingdom general election","Newry and Armagh","Alliance Party of Northern Ireland"
"Robert Woods",,,,
"Rowan Tunnicliffe",,,,
"Sam Nicholson","Q76119832","2017 United Kingdom general election","Newry and Armagh","Ulster Unionist Party"
"Sam Nicholson","Q76119832","2019 United Kingdom general election","Newry and Armagh","Ulster Unionist Party"
"Sharon Haughey",,,,
"Thomas O'Hanlon",,,,
